track_genre,explicit,count,avg_popularity,avg_energy
acoustic,False,944,43.14,0.42
acoustic,True,51,30.43,0.65
afrobeat,False,900,24.61,0.7
afrobeat,True,18,26.56,0.75
alt-rock,False,928,33.63,0.75
alt-rock,True,56,39.32,0.81
alternative,False,825,24.54,0.72
alternative,True,163,22.96,0.7
ambient,False,907,44.19,0.23
ambient,True,5,57.2,0.31
anime,False,938,48.91,0.67
anime,True,54,47.98,0.79
black-metal,False,682,22.22,0.88
black-metal,True,118,24.0,0.93
bluegrass,False,959,25.75,0.53
bluegrass,True,5,23.6,0.56
blues,False,956,30.69,0.58
blues,True,14,49.29,0.6
brazil,False,807,44.18,0.62
brazil,True,79,46.58,0.61
breakbeat,False,785,20.32,0.86
breakbeat,True,47,21.55,0.86
british,False,914,43.79,0.49
british,True,39,49.36,0.74
cantopop,False,994,34.77,0.46
cantopop,True,2,25.5,0.66
chicago-house,False,625,12.55,0.74
chicago-house,True,11,10.73,0.84
children,False,997,35.12,0.49
chill,False,826,52.75,0.42
chill,True,171,58.47,0.48
classical,False,789,13.38,0.19
club,False,898,33.66,0.72
club,True,84,31.57,0.74
comedy,False,306,23.18,0.68
comedy,True,592,25.56,0.7
country,False,964,16.08,0.59
country,True,30,40.97,0.67
dance,False,792,23.03,0.71
dance,True,170,25.55,0.72
dancehall,False,692,32.85,0.69
dancehall,True,301,35.09,0.67
death-metal,False,690,32.16,0.93
death-metal,True,240,31.61,0.96
deep-house,False,890,45.85,0.75
deep-house,True,25,51.24,0.75
detroit-techno,False,582,11.27,0.73
detroit-techno,True,6,24.5,0.6
disco,False,944,33.75,0.74
disco,True,6,37.33,0.86
disney,False,991,27.59,0.3
disney,True,1,18.0,0.51
drum-and-bass,False,924,26.85,0.88
drum-and-bass,True,24,31.92,0.85
dub,False,908,39.96,0.71
dub,True,74,44.53,0.82
dubstep,False,897,42.29,0.75
dubstep,True,95,43.65,0.83
edm,False,886,35.03,0.75
edm,True,105,36.13,0.79
electro,False,845,34.07,0.67
electro,True,152,47.6,0.62
electronic,False,814,43.9,0.69
electronic,True,120,47.82,0.75
emo,False,526,43.4,0.74
emo,True,465,53.55,0.59
folk,False,912,38.25,0.54
folk,True,6,22.33,0.5
forro,False,972,41.85,0.79
forro,True,18,41.67,0.74
french,False,756,43.45,0.59
french,True,219,33.88,0.62
funk,False,671,27.37,0.63
funk,True,295,43.03,0.64
garage,False,892,41.91,0.73
garage,True,95,34.0,0.84
german,False,781,25.64,0.54
german,True,126,39.09,0.63
gospel,False,840,41.28,0.58
goth,False,872,28.99,0.74
goth,True,61,26.87,0.73
grindcore,False,834,14.55,0.93
grindcore,True,150,14.91,0.91
groove,False,827,37.33,0.76
groove,True,93,46.82,0.92
grunge,False,916,49.49,0.8
grunge,True,72,50.68,0.86
guitar,False,972,29.55,0.32
guitar,True,2,32.0,0.07
happy,False,837,21.89,0.91
happy,True,123,21.61,0.94
hard-rock,False,892,41.5,0.79
hard-rock,True,44,52.98,0.88
hardcore,False,667,33.19,0.87
hardcore,True,324,42.09,0.79
hardstyle,False,872,26.89,0.9
hardstyle,True,95,26.61,0.9
heavy-metal,False,879,26.2,0.87
heavy-metal,True,82,26.06,0.92
hip-hop,False,675,44.83,0.7
hip-hop,True,307,22.94,0.64
honky-tonk,False,981,16.41,0.37
house,False,890,33.18,0.76
house,True,107,43.23,0.74
idm,False,862,15.9,0.55
idm,True,13,14.85,0.68
indian,False,945,49.85,0.57
indian,True,24,37.92,0.55
indie,False,908,38.26,0.56
indie,True,84,45.3,0.57
indie-pop,False,885,39.56,0.56
indie-pop,True,106,49.81,0.59
industrial,False,717,30.73,0.86
industrial,True,232,32.48,0.88
iranian,False,678,1.79,0.56
iranian,True,70,2.21,0.9
j-dance,False,602,27.04,0.71
j-dance,True,386,26.16,0.69
j-idol,False,993,24.72,0.87
j-idol,True,1,50.0,0.75
j-pop,False,974,41.07,0.68
j-pop,True,12,50.08,0.73
j-rock,False,964,40.68,0.76
j-rock,True,16,36.31,0.89
jazz,False,974,13.19,0.35
jazz,True,3,14.0,0.63
k-pop,False,908,59.31,0.68
k-pop,True,49,20.47,0.6
kids,False,976,14.95,0.61
kids,True,8,15.88,0.56
latin,False,857,7.96,0.73
latin,True,131,11.11,0.71
latino,False,742,23.01,0.74
latino,True,247,34.05,0.71
malay,False,913,30.78,0.58
malay,True,35,27.49,0.64
mandopop,False,988,45.04,0.5
mandopop,True,8,47.88,0.57
metal,False,802,41.71,0.84
metal,True,137,51.58,0.89
metalcore,False,699,42.18,0.91
metalcore,True,286,46.97,0.92
minimal-techno,False,564,33.91,0.69
minimal-techno,True,3,40.0,0.61
mpb,False,980,40.76,0.58
mpb,True,5,43.2,0.6
new-age,False,809,29.79,0.22
new-age,True,5,9.4,0.68
opera,False,939,24.79,0.32
pagode,False,948,44.38,0.71
pagode,True,14,35.86,0.73
party,False,946,20.73,0.87
party,True,44,27.45,0.88
piano,False,977,45.43,0.31
piano,True,12,39.67,0.71
pop,False,913,47.17,0.6
pop,True,72,55.92,0.64
pop-film,False,944,59.48,0.6
pop-film,True,1,71.0,0.77
power-pop,False,955,26.86,0.8
power-pop,True,33,28.09,0.89
progressive-house,False,918,46.71,0.82
progressive-house,True,52,53.77,0.82
psych-rock,False,912,42.58,0.56
psych-rock,True,12,35.92,0.71
punk,False,883,37.49,0.81
punk,True,103,44.86,0.83
punk-rock,False,906,38.15,0.81
punk-rock,True,80,39.09,0.87
r-n-b,False,897,35.58,0.64
r-n-b,True,82,47.04,0.64
reggae,False,827,20.61,0.73
reggae,True,166,19.75,0.72
reggaeton,False,784,22.14,0.74
reggaeton,True,211,29.87,0.71
rock,False,942,18.33,0.67
rock,True,42,26.12,0.78
rock-n-roll,False,997,34.45,0.53
rock-n-roll,True,2,29.0,0.95
rockabilly,False,994,31.53,0.66
rockabilly,True,5,26.2,0.75
romance,False,884,3.54,0.3
romance,True,4,0.0,0.11
sad,False,550,51.97,0.4
sad,True,450,52.88,0.53
salsa,False,958,28.01,0.72
salsa,True,3,31.33,0.65
samba,False,962,38.84,0.67
samba,True,1,40.0,0.68
sertanejo,False,990,47.84,0.71
sertanejo,True,6,47.83,0.7
show-tunes,False,945,31.0,0.4
show-tunes,True,16,52.62,0.53
singer-songwriter,False,936,38.08,0.43
singer-songwriter,True,47,33.26,0.5
ska,False,965,35.08,0.8
ska,True,24,36.08,0.77
sleep,False,965,34.97,0.34
songwriter,False,936,38.08,0.43
songwriter,True,47,33.26,0.5
soul,False,884,17.01,0.54
soul,True,102,42.01,0.51
spanish,False,947,38.12,0.71
spanish,True,37,35.59,0.67
study,False,998,26.13,0.41
swedish,False,895,37.14,0.62
swedish,True,95,38.95,0.63
synth-pop,False,932,36.23,0.71
synth-pop,True,44,47.05,0.73
tango,False,991,19.87,0.37
techno,False,680,39.0,0.76
techno,True,20,42.55,0.86
trance,False,773,38.45,0.85
trance,True,22,42.23,0.83
trip-hop,False,861,34.76,0.62
trip-hop,True,44,32.27,0.69
turkish,False,776,40.98,0.6
turkish,True,216,39.94,0.67
world-music,False,847,41.5,0.54
