key_name,mode_name,count,avg_popularity,avg_valence,avg_energy
A,Major,6578,33.31,0.52,0.65
A,Minor,4165,32.7,0.48,0.64
A#,Major,3575,32.19,0.49,0.57
A#,Minor,3448,33.79,0.49,0.71
B,Major,3900,34.52,0.5,0.66
B,Minor,4860,33.94,0.49,0.71
C,Major,9714,32.21,0.5,0.61
C,Minor,2721,34.65,0.46,0.62
C#,Major,6714,32.92,0.45,0.68
C#,Minor,3431,35.49,0.47,0.7
D,Major,8584,34.56,0.47,0.63
D,Minor,2417,34.94,0.44,0.58
D#,Major,2145,34.2,0.43,0.51
D#,Minor,1256,32.08,0.47,0.67
E,Major,4099,36.28,0.49,0.61
E,Minor,4415,33.85,0.45,0.67
F,Major,5088,32.47,0.48,0.57
F,Minor,3805,34.22,0.5,0.69
F#,Major,3894,32.9,0.48,0.66
F#,Minor,3575,34.95,0.48,0.7
G,Major,9564,32.48,0.49,0.64
G,Minor,2913,33.96,0.46,0.63
G#,Major,5209,32.72,0.48,0.66
G#,Minor,1802,35.0,0.51,0.68
