primary_artist,track_count,avg_popularity,avg_danceability,avg_energy,genres
J Balvin,339,15.61,0.77,0.74,"latin, latino, reggae"
George Jones,332,16.07,0.54,0.36,honky-tonk
Daddy Yankee,306,14.73,0.76,0.83,"hip-hop, latin, latino"
Pritam,298,53.16,0.59,0.71,indian
Feid,279,8.48,0.76,0.62,"latin, latino, pop"
Wolfgang Amadeus Mozart,275,10.52,0.42,0.13,classical
The Beatles,274,60.89,0.52,0.54,"british, psych-rock, rock"
ILLENIUM,258,40.5,0.47,0.72,"dub, dubstep, edm"
Linkin Park,251,55.59,0.54,0.85,"alternative, grunge, metal"
Ella Fitzgerald,251,3.27,0.57,0.35,"blues, jazz"
Jhayco,245,2.9,0.79,0.71,"latin, latino, reggae"
Hank Williams,243,17.1,0.59,0.28,honky-tonk
Stevie Wonder,235,1.07,0.49,0.56,"funk, indie, soul"
Yuvan Shankar Raja,222,52.36,0.69,0.64,"k-pop, pop-film, pop"
Prateek Kuhad,217,46.33,0.58,0.38,"folk, indian, indie-pop"
Don Omar,212,6.35,0.77,0.8,"hip-hop, latin, latino"
Burna Boy,194,14.16,0.78,0.59,"dance, dancehall, hip-hop"
OneRepublic,193,31.61,0.52,0.7,"piano, pop, rock"
Tiësto,191,22.15,0.74,0.79,"dance, edm, house"
Chuck Berry,190,7.87,0.64,0.85,"blues, r-n-b, rock-n-roll"
Charlie Brown Jr.,185,42.35,0.54,0.87,"alt-rock, brazil, hard-rock"
Armin van Buuren,182,38.08,0.6,0.85,"edm, house, progressive-house"
Marshmello,178,44.06,0.67,0.79,"dance, edm, electro"
The Beach Boys,175,7.89,0.54,0.53,"psych-rock, rock"
Elvis Presley,175,55.03,0.51,0.49,"rock-n-roll, rock, rockabilly"
Håkan Hellström,172,31.32,0.39,0.69,"goth, indie-pop, swedish"
my little airport,171,33.22,0.54,0.45,cantopop
Glee Cast,170,39.86,0.56,0.66,club
Scooter,167,25.51,0.53,0.94,"electronic, happy, hardcore"
BTS,164,68.62,0.62,0.76,"k-pop, pop"
Vybz Kartel,159,21.68,0.67,0.74,"dancehall, j-dance, reggae"
Red Hot Chili Peppers,158,40.89,0.52,0.8,"alt-rock, alternative, funk"
Bryan Adams,153,10.65,0.55,0.63,"rock, singer-songwriter, songwriter"
Arctic Monkeys,152,55.66,0.5,0.65,"garage, indie, rock"
Norah Jones,148,4.93,0.49,0.32,"j-pop, jazz"
The Prophet,144,8.37,0.61,0.91,"happy, hardcore, hardstyle"
DJ Snake,143,39.5,0.68,0.77,"dance, edm, electro"
Wisin & Yandel,142,4.23,0.75,0.79,"electro, hip-hop, latin"
Anupam Roy,142,42.57,0.59,0.48,"indian, indie-pop, indie"
KAROL G,142,8.08,0.75,0.73,"reggae, reggaeton"
David Guetta,130,16.55,0.63,0.8,"dance, edm, pop"
Clean Bandit,129,26.37,0.73,0.71,"dance, edm, funk"
Hillsong Worship,127,44.08,0.4,0.52,world-music
Zedd,124,36.6,0.66,0.71,"dance, edm, electro"
Los Prisioneros,123,20.48,0.69,0.67,"alt-rock, alternative, hard-rock"
Ellie Goulding,122,34.3,0.55,0.72,"dance, edm, electro"
CoComelon,122,49.37,0.81,0.37,children
Robin Schulz,121,17.71,0.6,0.77,"dance, deep-house, edm"
Seiko Matsuda,120,26.41,0.64,0.61,"j-idol, j-pop, techno"
Hans Zimmer,119,33.24,0.23,0.23,german
